,source,target,direction,intensity,lang_usage
0,1,20,out,2,0
1,1,4,out,1,0
2,1,22,out,0,0
3,1,29,out,1,0
4,1,16,out,0,0
5,1,24,in,5,0
6,1,19,out,3,0
7,1,15,out,0,0
8,1,25,in,5,0
9,1,26,out,2,0
10,1,32,out,1,0
11,1,21,out,1,0
12,1,12,out,1,0
13,1,10,out,4,0
14,1,40,out,1,0
15,1,17,out,2,0
16,1,18,out,3,0
17,1,28,out,2,0
18,1,27,out,2,0
19,1,33,out,0,0
20,1,35,out,3,0
21,1,9,out,0,0
22,1,11,out,2,0
23,1,41,out,0,0
24,1,39,out,4,0
25,1,13,out,1,0
26,1,6,out,2,0
27,1,5,in,3,0
28,1,23,out,0,0
29,1,34,in,4,0
30,1,2,in,5,0
31,1,30,in,5,0
32,1,14,in,5,0
33,1,38,out,0,0
34,1,8,out,5,0
35,1,7,out,1,0
36,1,37,out,0,0
37,1,3,out,2,0
38,1,36,out,0,0
39,1,31,in,5,0
40,2,20,out,1,0
41,2,4,in,4,2
42,2,29,out,3,0
43,2,16,out,1,0
44,2,24,in,3,0
45,2,19,in,3,4
46,2,15,in,1,0
47,2,25,in,1,0
48,2,26,out,1,0
49,2,32,in,1,0
50,2,1,out,4,5
51,2,12,out,1,0
52,2,10,out,2,0
53,2,40,in,1,0
54,2,17,out,1,0
55,2,18,out,0,0
56,2,28,in,4,4
57,2,27,out,1,0
58,2,33,in,2,0
59,2,35,in,3,3
60,2,9,in,1,0
61,2,11,in,2,0
62,2,39,in,4,3
63,2,13,in,1,0
64,2,6,out,5,7
65,2,5,in,1,0
66,2,30,in,3,5
67,2,14,in,3,4
68,2,38,out,1,0
69,2,8,out,1,0
70,2,7,out,1,0
71,2,37,in,3,0
72,2,3,in,3,0
73,2,31,in,3,6
74,3,20,out,4,8
75,3,4,in,1,8
76,3,22,out,3,5
77,3,29,in,1,5
78,3,16,out,1,6
79,3,24,in,2,6
80,3,19,in,2,4
81,3,15,in,5,3
82,3,25,out,4,8
83,3,26,out,4,6
84,3,32,in,5,3
85,3,21,out,4,6
86,3,1,out,2,5
87,3,12,out,3,7
88,3,10,in,2,5
89,3,40,out,4,7
90,3,17,out,3,5
91,3,18,out,4,5
92,3,28,out,1,5
93,3,27,in,5,4
94,3,33,out,3,5
95,3,35,in,5,2
96,3,9,out,1,5
97,3,11,in,2,6
98,3,41,out,1,6
99,3,39,out,1,7
100,3,13,out,4,7
101,3,6,in,2,5
102,3,5,in,3,3
103,3,23,out,0,5
104,3,34,in,2,6
105,3,2,in,2,4
106,3,30,out,2,5
107,3,14,in,2,5
108,3,38,out,0,2
109,3,8,out,4,8
110,3,7,out,1,5
111,3,37,in,3,5
112,3,36,in,2,7
113,3,31,out,2,7
114,4,40,mutual,5,3
115,5,20,mutual,3,0
116,5,4,in,2,0
117,5,22,mutual,5,0
118,5,29,mutual,4,0
119,5,16,out,1,0
120,5,24,in,3,0
121,5,19,in,4,0
122,5,15,mutual,5,0
123,5,25,mutual,5,0
124,5,26,out,5,3
125,5,32,mutual,5,0
126,5,1,out,3,0
127,5,12,out,5,4
128,5,10,out,4,0
129,5,40,out,5,0
