;node_id;202_final_x;202conv;202sqr;avgOPI202sq;avgOPI_202;cicle_others_TL;cir_f2fminday;cir_f2fpropL1;cir_f2fpropL2;cir_f2fpropTL;cir_textingminday;cir_textingpropL1;cir_textingpropL2;cir_textingpropTL;cir_voiceminday;cir_voicepropL1;cir_voicepropL2;cir_voicepropTL;cir_writingminday;cir_writingpropL1;cir_writingpropL2;cir_writingpropTL;circle_biolfamily_L1;circle_biolfamily_L2;circle_biolfamily_TL;circle_classmates_L1;circle_classmates_L2;circle_classmates_TL;circle_friends_L1;circle_friends_L2;circle_friends_TL;circle_others_L1;circle_others_L2;circle_partnerwithfamily_L1;circle_partnerwithfamily_L2;circle_partnerwithfamily_TL;circle_teacher_L1;circle_teacher_L2;circle_teacher_TL;context_#daysinTLcountry;context_TLenvironment_stay;context_arrival_TLcountry;context_learningoutofclassminday;context_learntbeforefor#months;context_motivation;group_id;group_late completion;group_questionnaire_order;improv_cult;improv_gmr;improv_listening;improv_overall;improv_pron;improv_reading;improv_voc;improv_writing;interact_classmates;interact_frequency;interaction_groupintegration;living_TLhostfam;living_accommodation;living_communication_L1;living_communication_L2;living_communication_TL;living_flatsharingwith#;living_nonTLhostfam;living_other;living_privatermdorm;living_sharing#L2;living_sharing#TL;living_sharing#sameL1;living_sharingdormroomw#;living_sharingwpartner;living_singleapt;living_sum_flatmates;metric_2nd_L1;metric_Age;metric_English;metric_FLcumulative_wo_AR;metric_FLcumulativecompetence;metric_Gender;metric_L1;metric_eldersiblings;metric_general_cumulativecompet;metric_language@home;metric_level gained;metric_multilingual;metric_postsojournOPI;metric_presojournOPI;metric_sameagedsiblings;metric_sum_FL;metric_sum_languagesfromTLgroup;metric_sum_siblings;metric_targetlanguage;metric_youngersiblings;partner_01;partner_language;partner_stayingwith;partner_talkevery#days;prog202conv;prog202sqr;progOPI202sqr;progOPI_202;psycho_TLcomfort;psycho_TLcourseenjoyment;psycho_TLmistakes;psycho_TLstudyenjoyment;psycho_TLuseoutofclassminday;psycho_attention;psycho_avoidance_BAL2;psycho_fear;psycho_friends_BAL2;psycho_initiative_BAL2;psycho_learninglanguage_BAL2;psycho_listener_BAL2;psycho_mix_BAL2;psycho_motivationdegree;psycho_otherlgsminday;psycho_proficiencyingroup_BAL1;psycho_studytogether;qasid_class;student_number;202_final_y
14;15;91.8;6.0;6.2;5.6;5.5;20.0;;70.0;0.0;30.0;;90.0;0.0;10.0;;90.0;0.0;10.0;20.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;15.0;0.0;0.0;20.0;0.0;25.0;0.0;0.0;0.0;0.0;10.0;37.0;n;17409.0;180.0;18.0;culture;4;1.0;2.0;4.0;;2.0;3.0;3.0;3.0;4.0;4.0;35.0;2.0;3.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;4.0;;23.0;6.0;9.0;12.0;male;eng;3.0;18.0;eng;2.0;;7.0;5.0;0.0;4.0;2.0;6.0;3.0;3.0;yes;L1;no;1.0;1.5;1.3;1.4;1.5;2.0;3.0;4.0;2.0;120.0;4.0;4.0;3.0;3.0;2.0;2.0;3.0;2.0;3.0;300.0;2.0;4.0;3;15;91.8
15;16;93.0;6.1;6.4;5.2;5.0;0.0;200.0;55.0;0.0;45.0;30.0;50.0;0.0;50.0;20.0;75.0;0.0;25.0;30.0;75.0;0.0;25.0;5.0;0.0;0.0;0.0;0.0;10.0;40.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;37.0;n;17409.0;120.0;12.0;work & interests;5;1.0;2.0;5.0;2.0;5.0;4.0;2.0;4.0;4.0;4.0;35.0;3.0;3.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;3.0;;19.0;6.0;3.0;6.0;male;eng;1.0;12.0;eng;3.0;;7.0;4.0;0.0;2.0;1.0;3.0;3.0;2.0;no;;;;1.4;1.1;1.8;2.0;4.0;3.0;4.0;4.0;100.0;3.0;2.0;1.0;2.0;2.0;3.0;4.0;3.0;4.0;150.0;2.0;2.0;2;16;93.0
16;17;90.0;5.9;5.9;5.9;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17409.0;;;;4;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;male;;;;;1.0;;7.0;6.0;;;;;;;;;;;1.6;1.6;1.1;1.0;;;;;;;;;;;;;;;;;;3;17;90.0
17;18;98.5;6.5;7.4;7.2;6.7;0.0;;80.0;0.0;20.0;45.0;80.0;0.0;20.0;15.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;80.0;0.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;n;17409.0;180.0;40.0;work & interests;5;;2.0;4.0;1.0;4.0;3.0;4.0;4.0;2.0;3.0;80.0;5.0;4.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;4.0;;22.0;6.0;7.0;10.0;male;eng;0.0;16.0;eng;1.0;;8.0;7.0;0.0;3.0;2.0;;3.0;;no;;;;2.0;1.1;0.8;1.3;3.0;4.0;3.0;4.0;90.0;2.0;2.0;0.0;1.0;1.0;4.0;1.0;4.0;4.0;;1.0;2.0;1;18;98.5
18;19;97.3;6.4;7.2;6.6;6.2;0.0;240.0;55.0;0.0;45.0;30.0;75.0;5.0;20.0;30.0;90.0;0.0;10.0;20.0;100.0;0.0;0.0;18.3;0.0;0.0;0.0;0.0;10.0;18.3;0.0;25.0;0.0;0.0;18.3;5.0;5.0;0.0;0.0;0.0;37.0;n;17409.0;110.0;24.0;interests & preferences;6;;2.0;4.0;3.0;4.0;3.0;3.0;4.0;4.0;4.0;65.0;4.0;5.0;no;apartment;yes;yes;yes;no;no;no;no;yes;yes;yes;no;yes;yes;1.0;;23.0;6.0;8.0;11.0;male;eng;0.0;17.0;eng;1.0;geo;7.0;6.0;0.0;3.0;1.0;2.0;3.0;2.0;yes;L1;yes;1.0;1.1;0.3;0.4;0.8;4.0;4.0;2.0;4.0;120.0;3.0;1.0;3.0;1.0;3.0;5.0;2.0;5.0;4.0;15.0;1.0;1.0;1;19;97.3
19;20;87.5;5.7;5.4;5.2;5.4;20.0;240.0;60.0;0.0;40.0;30.0;85.0;0.0;15.0;15.0;100.0;0.0;0.0;10.0;100.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;10.0;45.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;37.0;n;17409.0;180.0;16.0;interests & preferences;3;;2.0;3.0;2.0;3.0;4.0;4.0;2.0;4.0;3.0;80.0;3.0;3.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;3.0;;24.0;6.0;7.0;10.0;female;eng;3.0;16.0;eng;1.0;;6.0;5.0;0.0;3.0;1.0;3.0;3.0;0.0;yes;L1;no;1.0;0.8;1.1;0.8;0.6;3.0;3.0;4.0;3.0;45.0;5.0;3.0;3.0;5.0;3.0;3.0;3.0;3.0;2.0;120.0;2.0;4.0;4;20;87.5
20;21;86.9;5.7;5.3;4.7;4.9;0.0;200.0;50.0;0.0;50.0;60.0;40.0;0.0;60.0;30.0;50.0;0.0;50.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;15.0;0.0;15.0;15.0;0.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;37.0;n;17409.0;100.0;12.0;interests & preferences;3;;2.0;4.0;3.0;4.0;4.0;3.0;4.0;5.0;4.0;20.0;2.0;2.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;3.0;;21.0;6.0;0.0;3.0;female;eng;0.0;9.0;eng;3.0;;7.0;4.0;0.0;1.0;1.0;9.0;3.0;9.0;no;;;;1.8;2.2;2.3;2.1;3.0;4.0;5.0;3.0;120.0;2.0;0.0;5.0;0.0;5.0;1.0;2.0;5.0;4.0;120.0;2.0;5.0;4;21;86.9
21;22;82.7;5.4;4.6;4.8;5.2;10.0;240.0;50.0;0.0;50.0;120.0;60.0;0.0;40.0;30.0;100.0;0.0;0.0;60.0;80.0;0.0;20.0;10.0;0.0;0.0;15.0;0.0;30.0;10.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;37.0;n;17409.0;90.0;24.0;work & interests;1;;2.0;4.0;3.0;1.0;3.0;2.0;1.0;2.0;3.0;70.0;4.0;5.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;7.0;;22.0;6.0;0.0;3.0;female;eng;7.0;9.0;eng;1.0;;6.0;5.0;0.0;1.0;1.0;7.0;3.0;0.0;yes;L1;no;1.0;1.1;1.9;1.2;0.8;2.0;1.0;3.0;3.0;90.0;4.0;5.0;2.0;4.0;0.0;1.0;5.0;1.0;2.0;60.0;3.0;1.0;5;22;82.7
22;23;95.4;6.3;6.8;5.4;5.1;4.5;180.0;70.0;0.0;30.0;100.0;40.0;35.0;25.0;20.0;97.5;2.5;0.0;60.0;70.0;15.0;15.0;10.0;0.0;0.0;5.0;0.0;3.75;20.5;7.5;15.0;17.5;0.0;0.0;0.0;0.0;5.0;0.0;3.75;37.0;n;17409.0;160.0;26.0;interests & preferences;5;;2.0;4.0;4.0;2.0;3.0;2.0;3.0;3.0;4.0;75.0;;;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;3.0;;21.0;6.0;5.0;7.5;female;eng;1.0;13.5;eng;1.0;;5.0;4.0;0.0;2.0;1.0;3.0;2.5;2.0;no;;;;-0.8;-1.3;-0.4;-0.1;1.0;4.0;3.0;4.0;120.0;5.0;5.0;5.0;4.0;3.0;2.0;5.0;3.0;4.0;45.0;3.0;3.0;2;23;95.4
23;24;88.7;5.8;5.6;6.3;6.4;5.0;480.0;40.0;0.0;60.0;20.0;90.0;0.0;10.0;120.0;100.0;0.0;0.0;20.0;95.0;0.0;5.0;10.0;0.0;0.0;0.0;0.0;15.0;5.0;0.0;15.0;15.0;0.0;15.0;0.0;0.0;15.0;0.0;5.0;37.0;n;17409.0;130.0;20.0;personal reasons (unspecified);4;;2.0;3.0;3.0;3.0;4.0;3.0;4.0;3.0;3.0;40.0;5.0;5.0;no;apartment;yes;no;no;yes;no;no;no;no;yes;yes;no;no;no;3.0;;23.0;6.0;0.0;3.0;female;eng;0.0;9.0;eng;0.0;;7.0;7.0;0.0;1.0;1.0;3.0;3.0;3.0;yes;L1;no;1.0;1.7;1.9;0.7;0.6;3.0;4.0;1.0;3.0;60.0;2.0;3.0;4.0;4.0;4.0;1.0;2.0;4.0;3.0;180.0;2.0;1.0;3;24;88.7
